Districte,Total,A peu + bicicleta,Transport privat,Transport públic
Ciutat Vella,333.300,253.308,25.329,54.662
L'Eixample,802.039,544.185,147.750,110.104
Sants-Montjuïc,500.419,294.860,97.666,107.894
Les Corts,264.350,176.951,53.956,33.444
Sarrià-Sant Gervasi,455.135,259.254,136.183,59.699
Gràcia,380.898,250.154,68.424,62.320
Horta-Guinardó,490.973,271.132,108.942,110.899
Nou Barris,526.307,294.752,108.715,122.840
Sant Andreu,460.405,289.878,88.952,81.574
Sant Martí,713.044,435.258,137.993,139.793
