Districte,PoblacióTotal,PoblacioDones,PoblacioHomes,Densitat de població (hab/km²),Edat mitjana,Domicilis,Ocupació mitjana
Barcelona,1.660.314,869.379,790.935,16.325,44.0,660.063,2.52
Ciutat Vella,109.672,50.387,59.285,26.081,39.3,40.867,2.68
L'Eixample,269.349,142.773,126.576,36.086,44.6,111.779,2.41
Sants-Montjuïc,187.026,96.990,90.036,8.174,43.8,74.280,2.52
Les Corts,81.576,43.714,37.862,13.571,46.0,32.780,2.49
Sarrià-Sant Gervasi,149.201,80.653,68.548,7.492,43.3,56.218,2.65
Gràcia,123.276,66.538,56.738,29.185,44.1,52.701,2.34
Horta-Guinardó,173.944,92.183,81.761,14.593,45.1,69.956,2.49
Nou Barris,173.552,91.887,81.665,21.543,44.3,66.897,2.59
Sant Andreu,151.537,79.471,72.066,22.988,44.3,59.678,2.54
Sant Martí,241.181,124.783,116.398,23.108,43.8,94.907,2.54
